169086.city,mISABELA,ISABELA
6589.areacode,501.0,520
151254.haschild,***,Y
48174.city,MBOILE,MOBILE
31759.phone,458-1596,458-5196
175057.phone,189-2846,189-2486
71556.statevalue,AV,VA
45312.city,DANET,DANTE
132459.haschild,,N
5558.fname,Belen,Geard
178302.maritalstatus,mM,M
75564.fname,Xei,Xie
32587.lname,Pelil,Pell
53577.gender,***,M
97435.maritalstatus,,M
157913.statevalue,DmC,DC
15129.haschild,***,Y
128811.fname,Luren,Lauren
26419.maritalstatus,,M
14959.haschild,***,N
23709.lname,dSufrin,Sufrin
16332.statevalue,I,MI
113225.statevalue,KA,AK
125567.lname,Fxorcade,Forcade
36224.maritalstatus,jS,S
4882.zip,72640.0,6854
1566.lname,aPrmelee,Parmelee
196927.maritalstatus,,M
988.gender,***,M
17752.fname,Jei,Juei
145898.city,BLL SHOALS,BULL SHOALS
122815.gender,,M
23432.statevalue,H,NH
150389.city,CAREzY,CAREY
167770.fname,Timucni,Timucin
54003.fname,Ldislav,Ladislav
41357.city,EVkANS,EVANS
187227.haschild,***,Y
189155.city,TALuLAHASSEE,TALLAHASSEE
130757.gender,***,M
167220.statevalue,O,CO
8100.statevalue,TM,MT
13776.lname,Babn,Babin
78134.gender,xF,F
71223.city,WANUAKEE,WAUNAKEE
9598.lname,tLovis,Lovis
4004.zip,8203.0,14221
25703.statevalue,E,ME
44978.statevalue,K,AK
31131.maritalstatus,,S
47495.maritalstatus,,M
123868.gender,***,M
143059.city,MONTOMERY,MONTGOMERY
4531.zip,1907.0,53585
171798.statevalue,X,TX
23013.city,PFEIER,PFEIFER
21469.haschild,,N
51508.statevalue,TdX,TX
14006.lname,Otizllio,Otillio
64654.city,AMILTON,HAMILTON
65057.lname,Clsen,Clasen
103126.statevalue,V,WV
166966.fname,Lakhdra,Lakhdar
7688.city,VAEL,VALE
140204.lname,Ballni,Ballin
45383.city,AVNCLEAVE,VANCLEAVE
57049.haschild,,N
92603.fname,Egrun,Ergun
104642.gender,,M
129145.maritalstatus,,S
45139.lname,Lanid,Landi
93331.gender,,M
31471.haschild,dN,N
1325.areacode,862.0,702
118249.city,MADBRY,MADBURY
6400.areacode,501.0,401
177338.gender,,F
33647.maritalstatus,aM,M
191084.gender,uM,M
2073.zip,78521.0,19945
74378.fname,Water,Walter
181317.gender,,F
39161.phone,429-8961,429-8691
172971.city,SAN SEABSTIAN,SAN SEBASTIAN
70570.phone,10-76437,107-6437
151662.lname,assel,Cassel
7070.gender,pM,M
156683.fname,Doian,Doina
27604.gender,,F
93496.city,FOUR CRNERS,FOUR CORNERS
102099.gender,***,F
106790.city,SHEROWOD,SHERWOOD
151849.statevalue,HN,NH
105477.fname,cZigmantas,Zigmantas
42035.fname,yBikram,Bikram
5942.fname,Xiangning,Sonya
78055.statevalue,O,CO
143976.fname,Hiayan,Haiyan
4127.fname,Hovav,Jackie
54673.gender,,M
32887.haschild,tY,Y
3795.zip,89140.0,80750
5997.fname,Hovav,Visalakshi
167828.statevalue,AnK,AK
123247.lname,Meriefm,Meriem
44981.city,IRON STATIN,IRON STATION
32432.statevalue,K,AK
133381.phone,730-3240,703-3240
20082.city,LASV EGAS,LAS VEGAS
4791.zip,89140.0,934
56330.city,CAGUSA,CAGUAS
150320.city,HAEML,HAMEL
87651.fname,oJis,Jois
140854.city,BAJDAERO,BAJADERO
48630.phone,884-9862,884-9682
3326.zip,72640.0,80463
199769.lname,hAbdellatif,Abdellatif
194292.city,HADDONs HEIGHTS,HADDON HEIGHTS
166704.fname,Eslliot,Elliot
17481.fname,Hroshige,Hiroshige
82051.phone,581-7532,581-7352
173699.phone,61u6-8649,616-8649
84457.statevalue,A,MA
8635.fname,Cmelia,Camelia
143770.statevalue,AL,LA
3927.zip,8203.0,68779
89223.phone,26-16283,261-6283
135713.city,SLATFORK,SLATYFORK
63392.lname,Osteenn,Osteen
143475.statevalue,KA,AK
170091.city,kVOLTAIRE,VOLTAIRE
126241.statevalue,A,WA
175780.haschild,gN,N
99400.lname,Bronome,Broome
137795.haschild,zY,Y
56218.gender,sM,M
107089.fname,Susihl,Sushil
134253.statevalue,TzX,TX
87817.statevalue,AW,WA
103623.maritalstatus,kM,M
68674.maritalstatus,tM,M
36231.maritalstatus,***,M
65675.fname,Bolrislav,Borislav
79686.fname,Yasufnumi,Yasufumi
35447.city,ADDOCK,MADDOCK
51427.city,LAS MARISA,LAS MARIAS
44900.city,MAToTAWA,MATTAWA
7783.areacode,702.0,304
95735.statevalue,uMD,MD
98950.maritalstatus,***,M
20014.statevalue,LI,IL
109754.city,HATILOL,HATILLO
46973.gender,***,M
72572.lname,qAngele,Angele
116733.city,cBOSTON,BOSTON
86790.gender,,F
73819.statevalue,H,NH
6848.phone,531-2259,351-2259
20929.lname,Oucih,Ouchi
98007.statevalue,YN,NY
33762.gender,wF,F
182618.city,ESNECA,SENECA
59886.statevalue,hAK,AK
152007.city,BOSE,BOISE
147397.phone,621-307,621-3007
126282.statevalue,rSD,SD
95136.gender,***,M
51089.statevalue,LI,IL
175252.fname,Puolina,Polina
149008.statevalue,N,TN
150268.phone,196-9545,916-9545
4327.zip,72640.0,24553
179826.maritalstatus,,M
107050.city,REDWOOwD,REDWOOD
52088.fname,Jhuda,Jahuda
1397.zip,78521.0,68817
177412.gender,***,F
179463.city,INNEAR,KINNEAR
169125.fname,Anonio,Antonio
46027.lname,Rachle,Rachel
94298.phone,1993-762,199-3762
159018.lname,Ouellet***,Ouellet
73094.city,SEBRIGN,SEBRING
84266.statevalue,lAK,AK
143416.lname,Kalyanakrishnna,Kalyanakrishnan
3972.fname,Nik,Guilherme
111063.maritalstatus,,S
65442.fname,Hnri,Henri
142031.gender,***,F
160861.maritalstatus,,S
159239.phone,779-123,779-1203
31125.gender,sF,F
21252.gender,uM,M
181638.lname,Tabowr,Tabor
170114.statevalue,K,AK
1223.fname,Hovav,Giopi
7248.fname,Hovav,Lanju
5950.lname,Kxerstetter,Kerstetter
49342.gender,***,F
132526.gender,***,M
91808.statevalue,NhE,NE
164706.phone,241-4p677,241-4677
113102.fname,Kryszfof,Krzyszfof
2224.fname,Hovav,Celena
79615.haschild,hY,Y
179398.gender,rM,M
117605.city,ACBOOL,CABOOL
118634.gender,***,M
23352.city,RAPIADN,RAPIDAN
38621.phone,79-17904,791-7904
175027.city,LAYTOlN,LAYTON
133564.phone,19w4-4443,194-4443
47343.haschild,eN,N
152582.maritalstatus,,M
102782.gender,,M
75289.statevalue,IR,RI
125299.city,MANGOLIA,MAGNOLIA
173596.city,ALENA,GALENA
2670.zip,78521.0,29329
72651.statevalue,AM,MA
29944.haschild,tY,Y
3010.fname,Nik,Haodong
103345.fname,dRenata,Renata
182158.city,VzARYSBURG,VARYSBURG
152787.statevalue,AP,PA
44544.fname,aJcob,Jacob
4358.zip,1907.0,20392
2665.zip,89140.0,83263
159780.haschild,***,Y
116906.statevalue,K,AK
55999.phone,435-7325,435-7352
69209.haschild,rY,Y
1213.zip,8203.0,50661
150553.statevalue,KA,AK
84108.gender,,M
184378.fname,Jminhua,Jinhua
190145.gender,***,F
59784.city,SAN DEIGO,SAN DIEGO
182249.haschild,lN,N
7410.fname,Belen,Jianxiu
46456.phone,310-4j130,310-4130
131745.gender,***,F
181743.haschild,,Y
197188.statevalue,iDC,DC
78275.city,GALESVILEL,GALESVILLE
146828.fname,Noberot,Noberto
11028.city,FISHERS ANDING,FISHERS LANDING
125339.phone,775-76q84,775-7684
146570.gender,***,M
191357.gender,,M
106818.fname,aSdatoshi,Sadatoshi
171220.maritalstatus,,M
33952.haschild,,N
56073.fname,Fmumitaka,Fumitaka
105865.fname,Cnanice,Canice
3235.zip,89140.0,68338
91473.maritalstatus,vS,S
1024.fname,Xiangning,Hanxiong
105758.lname,lKakkar,Kakkar
33530.phone,301-2083,310-2083
42131.statevalue,nME,ME
129270.haschild,***,Y
958.gender,,M
52344.city,pPENDER,PENDER
35383.phone,79-8018,769-8018
197696.city,ATLANnTA,ATLANTA
28694.statevalue,eSC,SC
150991.fname,Hdiemi,Hidemi
90030.fname,Raajt,Rajat
144079.gender,tF,F
165658.city,PORTLAD,PORTLAND
165525.fname,ePiyuan,Peiyuan
143640.gender,***,F
40040.haschild,***,N
171571.city, MC B H KANEOHE BAY,M C B H KANEOHE BAY
139372.statevalue,A,WA
113735.haschild,qY,Y
126120.statevalue,I,WI
45200.maritalstatus,***,S
140932.phone,738-702,738-3702
170126.gender,***,M
29545.statevalue,IR,RI
52534.maritalstatus,,M
195659.maritalstatus,oM,M
135526.gender,***,M
56978.city,ATLAoNTA,ATLANTA
42014.lname,ubiw,Lubiw
178652.haschild,pY,Y
87342.city,DENHAM SPRNGS,DENHAM SPRINGS
87181.haschild,,N
144461.statevalue,L,IL
416.haschild,cY,Y
161345.haschild,rN,N
96147.maritalstatus,aS,S
134426.fname,Lupco,Ljupco
41397.fname,Amer,Amber
109107.statevalue,KA,AK
144257.gender,iM,M
114414.statevalue,KA,AK
3443.zip,72640.0,66051
30980.lname,reas,Preas
90769.statevalue,D,SD
188767.fname,Tval,Tuval
32318.city,ATLAtNTA,ATLANTA
72705.statevalue,OM,MO
181437.city,LAINFIELD,PLAINFIELD
167327.fname,Agaron,Aaron
30008.statevalue,K,AK
162988.phone,392-i3155,392-3155
21510.gender,***,F
158664.phone,2l44-5963,244-5963
146887.maritalstatus,,M
2839.zip,20226.0,55188
198136.gender,***,F
148242.lname,jLangholm,Langholm
38988.maritalstatus,***,S
12920.phone,2u67-1021,267-1021
4240.lname,Watsn,Watson
58712.fname,Tatuie,Tatsuie
32649.lname,Erley,Earley
192663.fname,Yejun,Yuejun
162606.gender,xM,M
45901.gender,,M
90130.statevalue,jTN,TN
57228.lname,Leitjne,Leitjen
144006.haschild,pY,Y
76146.maritalstatus,***,M
167557.gender,***,F
65733.city,PAPALAOA,PAPAALOA
97064.maritalstatus,hM,M
140086.fname,Masraru,Marsaru
3630.areacode,702.0,260
115233.maritalstatus,***,M
16757.fname,Xiaoelei,Xiaolei
77154.lname,Buorassa,Bourassa
119456.phone,854-4226,854-2426
117226.gender,,F
21161.maritalstatus,,M
174910.city,BRIDWOOD,BRAIDWOOD
2996.areacode,501.0,302
83086.lname,Halam,Hallam
74365.haschild,***,Y
166324.statevalue,A,IA
191669.maritalstatus,,S
119303.lname,Amodt,Aamodt
160208.city,JESSUbP,JESSUP
175542.gender,,M
197720.city,GFOFSTOWN,GOFFSTOWN
142069.gender,***,F
102050.city,LOS ANGLEES,LOS ANGELES
72588.city,ETERAN,VETERAN
161729.phone,378-537q4,378-5374
127916.lname,Kakar,Kakkar
100314.gender,***,F
147253.haschild,***,Y
104458.lname,Mtotet,Mottet
1718.maritalstatus,***,S
197179.gender,,M
83306.phone,455-272,455-2672
74468.lname,chuning,Schuning
2474.areacode,862.0,770
10128.gender,,F
374.zip,78521.0,1041
93903.city,SANT FE,SANTA FE
173697.city,PEARfLAND,PEARLAND
87074.city,BRISOTL,BRISTOL
107243.city,LCINTON,CLINTON
198397.phone,836-518,836-5168
132130.city,SABANA HOOS,SABANA HOYOS
184822.maritalstatus,***,S
1791.areacode,702.0,229
28473.maritalstatus,,S
2810.zip,8203.0,43434
97572.phone,49n7-4264,497-4264
11813.gender,dF,F
176517.statevalue,E,DE
143897.maritalstatus,,S
81604.city,EDTROIT,DETROIT
101358.gender,wF,F
15237.city,WESzTLAKE,WESTLAKE
125970.statevalue,cAR,AR
87642.gender,,M
172620.haschild,***,Y
28547.haschild,,Y
42344.city,GLENNS FERY,GLENNS FERRY
38967.lname,oNva,Nova
41500.gender,***,F
12057.phone,840-3w184,840-3184
183623.statevalue,wME,ME
50539.city,VEGA BAAJ,VEGA BAJA
44495.gender,cM,M
6785.fname,Nik,Odinaldo
6319.fname,Xiangning,Jian
103760.maritalstatus,,S
91095.gender,bM,M
78252.haschild,qY,Y
135841.lname,Gdutbrod,Gutbrod
88867.phone,196-1677,169-1677
192691.gender,bM,M
1615.fname,Emanuedle,Emanuele
192071.phone,856-77m15,856-7715
85644.phone,219-875,219-9875
189321.lname,Kap,Kamp
24949.statevalue,AL,LA
167225.maritalstatus,***,S
85295.statevalue,O,MO
31918.maritalstatus,,M
3186.zip,8203.0,45051
81277.lname,ankoff,Mankoff
17522.city,HOOLULU,HONOLULU
25094.haschild,uY,Y
156330.city,SAND PSRINGS,SAND SPRINGS
155640.statevalue,HN,NH
165765.maritalstatus,,S
59493.city,PATILxLAS,PATILLAS
50271.haschild,eN,N
149872.gender,,F
3390.areacode,501.0,302
86428.gender,,M
26315.haschild,***,Y
117286.lname,Batell,Bartell
140356.phone,96d3-2211,963-2211
63450.lname,Agili,Aghili
79138.gender,***,F
127490.haschild,,Y
75849.gender,kF,F
55065.phone,228-153,228-1653
124392.phone,686-6967,668-6967
135740.lname,Takaayma,Takayama
96542.lname,Miksk,Miksik
122557.statevalue,H,NH
111837.maritalstatus,***,M
49246.fname,Raln,Ran
93720.city,BTUTE,BUTTE
102243.statevalue,bAZ,AZ
24463.gender,pM,M
190957.phone,8927638,892-7638
39082.maritalstatus,,S
75769.haschild,***,N
42797.phone,99-8829,989-8829
594.zip,78521.0,37160
141694.lname,Rel,Riel
48355.fname,Binnh,Binh
24329.lname,nAdersson,Andersson
164508.haschild,***,Y
50887.phone,99k4-3316,994-3316
46099.gender,***,M
142306.city,FALLS VILAGE,FALLS VILLAGE
139803.haschild,fY,Y
2356.zip,54121.0,57401
164423.city,EBE NJUNCTION,EBEN JUNCTION
108444.gender,,F
157998.haschild,***,Y
170994.city,BARCELOENTA,BARCELONETA
27525.statevalue,qTX,TX
54333.gender,,F
189991.city,NENAH,NEENAH
28791.haschild,***,Y
168976.lname,Bonacian,Bonacina
124768.haschild,,N
185712.fname,Boyualem,Boualem
159778.statevalue,RP,PR
126939.maritalstatus,,M
10739.city,ALgBIA,ALBIA
117156.city,CORbNISH FLAT,CORNISH FLAT
59879.phone,54k4-9222,544-9222
103629.lname,nyers,Snyers
101058.lname,Sangayl,Sangal
107450.haschild,***,N
23110.lname,Bsetgen,Bestgen
25483.phone,611-1j190,611-1190
160342.lname,Lapmen,Lampen
164180.statevalue,O,MO
76035.lname,eBal,Beal
171023.statevalue,AG,GA
155971.fname,Bovris,Boris
106635.haschild,,N
165897.maritalstatus,,M
146305.haschild,fY,Y
60779.maritalstatus,bS,S
39113.gender,hM,M
43837.statevalue,zDE,DE
107349.gender,,F
57203.maritalstatus,,M
27720.fname,Eiuj,Eiju
90227.phone,816-h4402,816-4402
31900.maritalstatus,vM,M
80393.maritalstatus,***,M
66837.statevalue,HO,OH
55160.maritalstatus,,M
104473.gender,***,F
175964.fname,Mka,Mika
5807.phone,894-5727,984-5727
81205.maritalstatus,***,M
192961.phone,53-4045,953-4045
148275.maritalstatus,***,S
92155.lname,Gutta***,Gutta
190905.city,STEVENON,STEVENSON
190214.fname,Rickhara,Richara
72751.gender,,M
161186.city,AFON,AFTON
162539.statevalue,RP,PR
193702.phone,19-2409,319-2409
84499.fname,Wilsno,Wilson
128194.statevalue,IM,MI
1108.zip,78521.0,96705
91719.city,PTILLAS,PATILLAS
160617.statevalue,IM,MI
168934.haschild,,N
56160.gender,***,M
93863.maritalstatus,***,M
197560.maritalstatus,bS,S
58660.fname,Lipmsoon,Limsoon
47029.lname,Giovanteti,Giovanetti
155683.statevalue,X,TX
25512.lname,uRtman,Rutman
2000.city,EAS THOMER,EAST HOMER
31948.city,PEnNUELAS,PENUELAS
76750.phone,664-424j4,664-4244
150555.city,AIKNE,AIKEN
179081.lname,Momrisio,Morisio
72440.statevalue,Y,NY
79009.maritalstatus,aS,S
137551.maritalstatus,,S
82790.fname,Gaqetano,Gaetano
115299.haschild,tY,Y
3218.zip,1907.0,71038
126865.gender,,F
148469.haschild,kY,Y
35293.lname,ills,Sills
118443.statevalue,vMD,MD
102336.maritalstatus,sM,M
50666.phone,93-3327,934-3327
68788.phone,536-9240,356-9240
33833.haschild,,Y
80087.statevalue,PpR,PR
2532.areacode,862.0,218
114396.haschild,***,Y
98950.lname,Nashsif,Nassif
84100.haschild,***,N
180411.fname,Lenadro,Leandro
64553.fname,Noephytos,Neophytos
142723.statevalue,K,AK
82755.lname,pHeijes,Heijes
3069.areacode,501.0,813
41619.gender,,F
146336.lname,Alxeanyan,Alexanyan
79056.gender,***,F
37469.gender,,M
111650.lname,Kubwert,Kubert
162068.haschild,kN,N
110337.statevalue,PqA,PA
59986.lname,Patahk,Pathak
19577.maritalstatus,***,S
161082.gender,lF,F
191552.city,MOzNTVILLE,MONTVILLE
94584.gender,,F
116508.city,PISGH,PISGAH
87358.lname,Emlee,Emele
32850.lname,nScheid,Scheid
188110.city,WAhLTHAM,WALTHAM
1408.areacode,862.0,509
188763.fname,Hacehmi,Hachemi
121951.haschild,,N
174362.lname,Delgragne,Delgrange
13939.statevalue,CN,NC
167108.maritalstatus,***,S
55827.fname,Ingrma,Ingram
90407.gender,***,M
3103.fname,Xiangning,Filipe
35425.lname,Berinck,Bernick
112573.maritalstatus,zM,M
1361.zip,89140.0,36872
56483.fname,Sixtuo,Sixto
142558.gender,,F
112557.statevalue,Z,AZ
3823.zip,72640.0,6247
106580.phone,568-t4261,568-4261
18438.city,SAN UJAN,SAN JUAN
176897.fname,Khoei,Kohei
160041.haschild,qN,N
8048.fname,Pengyuan,Nazife
1604.fname,Sudhanshu,Romulus
55787.statevalue,LI,IL
123818.gender,xM,M
176122.fname,Hestre,Hester
123799.maritalstatus,yS,S
134925.gender,***,F
3585.areacode,862.0,857
24826.fname,Frtis,Frits
103340.haschild,sN,N
191444.fname,Ycongcheng,Yongcheng
1192.areacode,702.0,339
8283.fname,Belen,Atreyi
72577.statevalue,CS,SC
104630.haschild,xN,N
2471.zip,89140.0,65054
70282.maritalstatus,,S
22774.haschild,***,Y
154841.city,LAS VEGyAS,LAS VEGAS
42320.fname,Lquan,Luquan
177110.city,ENSENiADA,ENSENADA
84522.phone,379-8c965,379-8965
92702.statevalue,kAK,AK
55519.statevalue,I,RI
22246.city,ETACADA,ESTACADA
199659.fname,Eldra,Eldar
144694.city,MELqBOURNE,MELBOURNE
15063.phone,610-2989,610-2998
2335.maritalstatus,rS,S
17008.city,AELXANDRIA,ALEXANDRIA
142798.gender,,F
175977.fname,sianlin,Hsianlin
2807.zip,72640.0,18039
72610.gender,aF,F
17129.statevalue,D,SD
99025.maritalstatus,***,S
1814.fname,Hovav,Agma
56804.city,TxROY,TROY
115862.gender,***,M
184900.phone,396-650u6,396-6506
179280.lname,Demeyegr,Demeyer
170637.city,LA MARIAS,LAS MARIAS
171964.haschild,hN,N
99556.statevalue,O,MO
137166.maritalstatus,aS,S
73698.gender,xM,M
172963.phone,21-7478,201-7478
105818.gender,uM,M
93085.statevalue,rAK,AK
156072.city,DADREN,DARDEN
55149.gender,***,F
93587.city,DARLNIG,DARLING
112884.maritalstatus,***,S
140999.haschild,kN,N
89325.statevalue,OvR,OR
142731.phone,196-498,196-4938
4836.zip,89140.0,57570
92504.phone,608-42v61,608-4261
37077.gender,,M
133019.statevalue,K,AK
104151.gender,,M
146902.city,WAHINGTON,WASHINGTON
29510.fname,Yaxir,Yair
35871.maritalstatus,,S
116369.haschild,***,N
131450.gender,eF,F
82039.city,VINEMONuT,VINEMONT
37697.maritalstatus,cM,M
4694.areacode,501.0,307
149428.statevalue,KA,AK
6991.areacode,501.0,502
26029.gender,aF,F
5281.areacode,501.0,405
99746.maritalstatus,rS,S
172742.fname,Dalior,Dalibor
40300.phone,973-139,973-1239
72878.statevalue,CaA,CA
109183.lname,ezak,Sezak
96168.city,WHIdTEFORD,WHITEFORD
136005.fname,Myyong,Myong
434.fname,Xiangning,Saydean
118603.phone,416-6824,416-8624
86715.lname,oCnti,Conti
184864.phone,68r7-8346,687-8346
164949.statevalue,H,OH
5058.areacode,501.0,985
73178.statevalue,aAK,AK
182056.phone,492c-3768,492-3768
86945.maritalstatus,gM,M
6963.fname,ierangela,Pierangela
97209.phone,z854-1993,854-1993
1912.zip,8203.0,3231
4555.maritalstatus,eM,M
6264.areacode,702.0,651
105487.fname,Feotima,Fetima
168760.city,OULDER,BOULDER
1275.zip,54121.0,37403
136202.haschild,***,Y
21898.city,GREA TFALLS,GREAT FALLS
81736.city,NTCHEZ,NATCHEZ
37576.phone,786-424,786-8424
110677.haschild,,N
55553.statevalue,OM,MO
37346.lname,bdelguerfi,Abdelguerfi
70411.maritalstatus,***,S
77161.statevalue,yME,ME
3943.zip,54121.0,70084
85450.statevalue,KA,AK
64475.city,JACKSNO,JACKSON
8331.lname,Awsperti,Asperti
92768.city,LRAES,LARES
136254.phone,87o8-5162,878-5162
167229.fname,eel,Neel
142749.lname,Nraahari,Narahari
31343.gender,***,M
196474.maritalstatus,***,M
3799.areacode,501.0,704
37924.statevalue,K,AK
109864.haschild,,Y
112266.fname,Rsihi,Rishi
44969.maritalstatus,***,S
76162.lname,Leeper***,Leeper
116908.maritalstatus,***,S
96871.phone,41-2670,416-2670
153774.gender,***,M
54519.maritalstatus,hM,M
165942.phone,48-06092,480-6092
187474.city,LUICLE,LUCILE
75023.phone,817-1036,817-1063
3455.zip,8203.0,11597
45770.city,CHITENDEN,CHITTENDEN
38117.maritalstatus,,M
143801.lname,bDrawin,Drawin
143202.lname,Gafrtshore,Gartshore
119200.statevalue,E,NE
21195.maritalstatus,***,M
3373.lname,ostilla,Costilla
129604.statevalue,S,KS
28196.fname,Narnedar,Narendar
21987.fname,Jialn,Jialin
38045.lname,Djratva,Dratva
109103.statevalue,KA,AK
12606.haschild,,Y
4945.maritalstatus,,M
59300.maritalstatus,uM,M
102397.maritalstatus,***,S
102692.city,IPSIWCH,IPSWICH
72291.phone,253-117f9,253-1179
193892.lname,Hamblne,Hamblen
56655.gender,***,M
130020.maritalstatus,lM,M
161948.statevalue,AG,GA
95388.phone,5g81-5925,581-5925
83256.statevalue,NM,MN
138248.gender,,F
26335.phone,8286457,828-6457
92302.lname,Okin,Olkin
126603.haschild,***,N
67223.haschild,iN,N
36837.gender,nF,F
31293.phone,913-6968,931-6968
63737.statevalue,KA,AK
174278.gender,dF,F
141777.statevalue,D,MD
194997.statevalue,K,AK
2271.zip,89140.0,70596
52273.haschild,xY,Y
31155.lname,eRnault,Renault
151227.maritalstatus,tS,S
9082.gender,mM,M
40577.maritalstatus,,M
95659.statevalue,DN,ND
3434.zip,8203.0,26362
124601.gender,pF,F
76074.city,dCHELSEA,CHELSEA
20219.city,PROSSER***,PROSSER
42506.statevalue,IM,MI
125914.maritalstatus,kM,M
196276.lname,xSoderston,Soderston
70863.haschild,,N
70616.city,RNOLDSVILLE,ARNOLDSVILLE
183843.phone,77m4-6511,774-6511
155500.lname,Nmajoshi,Namjoshi
6576.areacode,702.0,703
140210.fname,Ropoe,Roope
2079.zip,8203.0,24603
73500.statevalue,pLA,LA
120439.phone,9663889,966-3889
119001.haschild,iN,N
94782.haschild,***,Y
179268.gender,***,M
135936.fname,Jinzhoa,Jinzhao
168872.city,ANCOS,MANCOS
93318.gender,,F
187820.statevalue,H,OH
136477.phone,797x-7937,797-7937
85634.maritalstatus,eS,S
161233.maritalstatus,,M
124922.lname,Mavronioclas,Mavronicolas
150238.gender,tF,F
106870.lname,iKreutz,Kreutz
184238.fname,Gwneael,Gwenael
44460.statevalue,vSC,SC
56733.statevalue,A,VA
183668.gender,***,F
26220.maritalstatus,***,M
19418.statevalue,KA,AK
138456.statevalue,NT,TN
71992.haschild,***,N
166700.lname,Raffaeat,Raffaeta
85940.maritalstatus,***,M
191983.haschild,,N
89672.statevalue,KA,AK
490.phone,632-2784,632-2748
3892.zip,54121.0,84071
108134.lname,dInuo,Inuo
183863.fname,huuji,Shuuji
67398.city,BHUL,BUHL
1284.zip,20226.0,17360
2253.lname,amras,Ramras
155566.maritalstatus,***,S
197862.phone,52-1039,952-1039
55446.fname,Bilpav,Biplav
34548.maritalstatus,***,M
142277.maritalstatus,***,M
87285.phone,103-710g5,103-7105
185459.city,uLARES,LARES
91226.gender,,F
47655.statevalue,DwE,DE
107365.phone,316-021,316-2021
118620.haschild,***,Y
130268.statevalue,Y,KY
21733.statevalue,uTN,TN
484.fname,Ferecn,Ferenc
45980.fname,Lys,Loys
117657.maritalstatus,***,S
126736.lname,Geshman,Gershman
117881.statevalue,MfD,MD
195558.maritalstatus,***,M
67534.gender,fF,F
177669.gender,***,M
60634.fname,Seonwgoo,Seongwoo
9767.statevalue,JN,NJ
181871.statevalue,qIN,IN
158909.city,APLETON,MAPLETON
180985.city,GUAYABO,GUAYNABO
145482.fname,Wallae,Wallace
13094.lname,Woann,Womann
744.fname,Xiangning,Devin
62955.lname,Kalefefld,Kalefeld
195723.fname,Frederiqeu,Frederique
86577.statevalue,VN,NV
16963.fname,sApi,Aspi
50339.statevalue,MN,NM
199265.haschild,dN,N
54709.statevalue,KA,AK
88931.phone,49-6594,469-6594
118473.lname,oKtulla,Kotulla
85413.maritalstatus,***,S
102634.phone,849-8273,849-8237
142075.gender,,F
182705.fname,Jeaqn,Jean
10081.city,BATIMORE,BALTIMORE
70906.statevalue,K,AK
127882.city,GUILHALL,GUILDHALL
1181.zip,54121.0,49410
72404.statevalue,eME,ME
167573.maritalstatus,hM,M
143650.lname,loy,Gloy
98277.maritalstatus,***,S
16218.haschild,,Y
142050.statevalue,NI,IN
168109.gender,kM,M
62766.maritalstatus,***,S
70391.phone,380-2644,308-2644
189375.statevalue,DyE,DE
103623.lname,Lavechcia,Lavecchia
152455.maritalstatus,,S
19520.maritalstatus,***,S
180188.statevalue,AcK,AK
88268.maritalstatus,gM,M
64917.statevalue,bOH,OH
159541.haschild,***,N
4648.fname,Belen,Anh
181786.phone,57-7569,576-7569
33162.statevalue,R,AR
2110.maritalstatus,nM,M
141778.city,ALROSE,LAROSE
192652.statevalue,AwK,AK
32141.statevalue,I,WI
3456.phone,4184054,418-4054
185360.fname,Kuchul,Kyuchul
171182.maritalstatus,***,S
150442.city,ISAByELA,ISABELA
73609.lname,Erpstein,Epstein
46409.city,OKLAHMA CITY,OKLAHOMA CITY
54099.city,DASGBORO,DAGSBORO
144423.gender,***,M
102160.gender,,M
174490.maritalstatus,,S
25374.lname,gLueh,Lueh
74811.gender,,M
183900.phone,93-2419,993-2419
139907.haschild,***,Y
64108.lname,Andrzeajk,Andrzejak
115256.statevalue,K,AK
81465.haschild,,Y
181207.haschild,***,Y
165299.haschild,***,N
3866.zip,89140.0,6282
15646.haschild,vY,Y
6073.fname,Hovav,Theordore
53594.statevalue,OC,CO
164026.haschild,,Y
31997.city,IMLgAY,IMLAY
8970.phone,689-317,689-3817
164586.maritalstatus,***,M
1621.fname,Nik,Deven
94454.statevalue,Y,WY
191647.lname,Raun,Rauen
127254.gender,nF,F
46906.statevalue,IH,HI
11832.gender,***,F
104636.lname,aCnnata,Cannata
3950.city,EL PASuO,EL PASO
60163.statevalue,DN,ND
193775.gender,***,F
5037.fname,Xiangning,Silvana
186815.city,IAHO FALLS,IDAHO FALLS
32975.fname,yseer,Tyseer
120218.statevalue,MxO,MO
94552.lname,Daskalais,Daskalakis
144360.lname,Moilaenn,Moilanen
111453.phone,i138-4377,138-4377
188933.maritalstatus,qM,M
152756.fname,uXa,Xua
105806.city,BAzTH SPRINGS,BATH SPRINGS
15554.gender,,F
77626.lname,Theodoatos,Theodoratos
17980.phone,387-r5807,387-5807
92255.fname,Rajimund,Raimund
48917.city,WOODS COSS ROADS,WOODS CROSS ROADS
184011.haschild,,Y
1718.areacode,862.0,208
195211.gender,,M
139937.statevalue,CN,NC
3741.areacode,501.0,910
10993.haschild,cY,Y
24440.fname,Supryia,Supriya
184369.fname,agit,Sagit
110765.gender,,M
114658.maritalstatus,***,S
423.zip,72640.0,4958
